depth,age,error,dR,dSTD,cc,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
0.245,1.57,0.03,0.0,0.2,2.0,1.000505247480611,1.0024676391890976,0.8354946719105132,1.1701191002576992,0.7027675054166963,1.3487867824335524
0.545,2.565,0.03,0.0,0.2,2.0,2.0501077995830954,2.0524270279103227,1.876966774781598,2.238951718238753,1.6831540565143612,2.413499562138466
1.045,4.1,0.03,0.0,0.2,2.0,3.8214836363459335,3.8126928933297957,3.6036256461561225,4.0118457504711325,3.390112016572643,4.212703178925663
1.545,4.915,0.03,0.0,0.2,2.0,5.162175528100514,5.157876319026894,5.0040655058026315,5.304494197895525,4.850953133457484,5.454031529354625
1.545,4.95,0.03,0.0,0.2,2.0,5.162175528100514,5.157876319026894,5.0040655058026315,5.304494197895525,4.850953133457484,5.454031529354625
1.845,6.045,0.03,0.0,0.2,2.0,6.199674140522361,6.194472463335665,6.041987598027279,6.344082414123637,5.906062945855105,6.482246344354481
2.045,6.585,0.03,0.0,0.2,2.0,6.968690715643975,6.966691177388007,6.816250599051215,7.121002028742659,6.660976008083134,7.252970083435558
2.245,7.645,0.03,0.0,0.2,2.0,7.780345210386049,7.780219390802324,7.613686047318631,7.951625821097983,7.460695539344349,8.115180534296867
2.845,9.06,0.03,0.0,0.2,2.0,10.011515655981752,10.009016596621255,9.797750845450594,10.198181904261519,9.59661706126229,10.460008969589316
3.045,10.56,0.03,0.0,0.2,2.0,10.826057875639206,10.836653850000438,10.645098176503971,11.044561467559475,10.440992854304206,11.261751511681412
3.545,10.905,0.035,0.0,0.2,2.0,12.290173425805722,12.283131421077979,12.099992917903565,12.461034101355201,11.898387836739541,12.607784032657179
4.585,13.55,0.06,0.0,0.2,2.0,15.239271323785907,15.239870783388454,15.130185633019167,15.350891040963615,15.007631597458108,15.472899996917155
4.595,13.5,0.055,0.0,0.2,2.0,15.27177791836624,15.274873683297207,15.168016532317127,15.38494742369369,15.03475811632726,15.50326153568349
4.81,13.82,0.07,0.0,0.2,2.0,15.921063597885555,15.921347864923172,15.820931217113243,16.021430437444614,15.726898954067545,16.124347837223027
5.385,14.7,0.055,0.0,0.2,2.0,17.054030834117604,17.06389210770652,16.939141061278008,17.192060910893886,16.841978945297154,17.309440863888636
5.395,14.65,0.065,0.0,0.2,2.0,17.077987583728554,17.086409237634644,16.960774147498643,17.2156900895461,16.859955062952555,17.328249584050383
5.605,15.11,0.08,0.0,0.2,2.0,17.595914908911382,17.599895976663056,17.455899292125576,17.748763046750973,17.326458435447062,17.88422028509533
6.405,16.38,0.09,0.0,0.2,2.0,19.029296771339382,19.047577516491614,18.900667284978017,19.204793595132223,18.77078852727903,19.368534533879373
6.585,16.85,0.1,0.0,0.2,2.0,19.414009139475468,19.42417379584682,19.25888982542211,19.60101489033002,19.100200838256544,19.784739109033403
7.405,18.82,0.1,0.0,0.2,2.0,21.819191373412163,21.813176562289247,21.624525626637055,22.004043409083057,21.41197015969297,22.200719330697225
8.0,20.12,0.21,0.0,0.2,2.0,23.226760509719696,23.236619900642594,23.051961175278567,23.425177457446114,22.898832672596676,23.606735026175535
8.415,20.9,0.11,0.0,0.2,2.0,24.10361014174434,24.099412537330817,23.935812779676205,24.254378665259175,23.79209643088985,24.408395170702352
9.185,22.3,0.11,0.0,0.2,2.0,25.62743427364714,25.61995742738474,25.473731851699316,25.7577239619807,25.31139246706362,25.880896090844207
9.215,22.3,0.13,0.0,0.2,2.0,25.687417187529377,25.67734652494069,25.53522343743267,25.81678392584639,25.371270225507228,25.92503038535868
10.12,24.95,0.27,0.0,0.2,2.0,28.0270975547627,28.032882988021818,27.85988487625231,28.206432723303468,27.709799604595748,28.38297725401629
10.195,24.9,0.12,0.0,0.2,2.0,28.238717945661925,28.23906789458966,28.06722995416347,28.403656891462283,27.934996164646602,28.56296858551533
10.48,25.76,0.29,0.0,0.2,2.0,28.93089447785921,28.930354905179488,28.785551126185375,29.07999387238743,28.626187678470867,29.22849577692578
10.785,26.2,0.12,0.0,0.2,2.0,29.558180145987343,29.55901306416448,29.40082343223967,29.721559310715644,29.269825387785215,29.835132928258997
