depth,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
0.0,0.3063302592624043,0.3257452163140042,0.10043261229413028,0.5400482315262902,0.018320728288317763,0.7679099100273801
0.04,0.4168493069182325,0.4267265166425251,0.215035053561988,0.6200866267929913,0.11732556535674686,0.8423170875176045
0.2,0.8599114132332761,0.8646499281698675,0.6942122170938907,1.0318561151509087,0.5597528903909046,1.2178646662527177
0.245,1.000505247480611,1.0024676391890976,0.8354946719105132,1.1701191002576992,0.7027675054166963,1.3487867824335524
0.4,1.5195623405720031,1.5214438659920229,1.3508704979966826,1.6990918969392383,1.1694671106559964,1.8690937775109135
0.545,2.0501077995830954,2.0524270279103227,1.876966774781598,2.238951718238753,1.6831540565143612,2.413499562138466
0.6,2.258365351736857,2.2606760499093324,2.0732101763496007,2.4452286178696068,1.8867187493419928,2.6238293489827047
1.0,3.689518203003738,3.6793651727476693,3.462770385034065,3.886838060188288,3.2685430384663308,4.066040365308309
1.045,3.8214836363459335,3.8126928933297957,3.6036256461561225,4.0118457504711325,3.390112016572643,4.212703178925663
1.2,4.235311079285449,4.236161696063401,4.031250263092203,4.42727480148201,3.8073628312400274,4.632821523377895
1.4,4.757857978657105,4.757271941216799,4.586328439023526,4.936703888883227,4.368417744646211,5.098185552159022
1.545,5.162175528100514,5.157876319026894,5.0040655058026315,5.304494197895525,4.850953133457484,5.454031529354625
1.6,5.330607117014111,5.327975685212141,5.170855567842705,5.480199234435488,5.023950044567632,5.609515937650159
1.8,6.0311642109352945,6.024441649844724,5.866377578465679,6.177002284848612,5.712722666011881,6.3210852838443
1.845,6.199674140522361,6.194472463335665,6.041987598027279,6.344082414123637,5.906062945855105,6.482246344354481
2.0,6.793978686226511,6.789331380431113,6.643826624825476,6.946259770023518,6.485776789401409,7.064819429823792
2.045,6.968690715643975,6.966691177388007,6.816250599051215,7.121002028742659,6.660976008083134,7.252970083435558
2.2,7.599108811289771,7.599719291160241,7.445302382613252,7.755738714125245,7.293975985452628,7.9217000529432235
2.245,7.780345210386049,7.780219390802324,7.613686047318631,7.951625821097983,7.460695539344349,8.115180534296867
2.4,8.360091320405072,8.3637029396547,8.15650423084519,8.569760558610463,7.961040833708623,8.786541212371272
2.5,8.733087326239431,8.731856645671941,8.501313033062393,8.958285086940483,8.29550472468325,9.172534004365549
2.6,9.101337663563939,9.098879864787559,8.855165237207608,9.333881866840038,8.640420066391858,9.562250794943182
2.8,9.83502181097176,9.83497212314338,9.62112073212167,10.038614281005465,9.41883139571527,10.27395984328633
2.845,10.011515655981752,10.009016596621255,9.797750845450594,10.198181904261519,9.59661706126229,10.460008969589316
3.0,10.64031555980074,10.654824777357364,10.462808336092058,10.85964430172966,10.246833489744288,11.06923501591792
3.045,10.826057875639206,10.836653850000438,10.645098176503971,11.044561467559475,10.440992854304206,11.261751511681412
3.1,11.041591825629702,11.04152297255191,10.840590415179507,11.241675231324626,10.634560290926887,11.445221584999059
3.2,11.370612578967261,11.370124414236175,11.168574014152732,11.564019431946438,10.970681393003401,11.745378879731424
3.3,11.66852847022652,11.661296595774086,11.463530136972999,11.849172958454156,11.24455408624657,12.039754172236645
3.4,11.927666624102462,11.921444170717209,11.7267823226274,12.106112516380392,11.52014344705927,12.286443706306551
3.5,12.174839944832563,12.171410767296864,11.984483662729744,12.349717634075157,11.78900049551069,12.522611543625864
3.545,12.290173425805722,12.283131421077979,12.099992917903565,12.461034101355201,11.898387836739541,12.607784032657179
3.6,12.430300443772005,12.42276742265906,12.239220196902085,12.607524340392207,12.038163062909954,12.740438360284307
3.7,12.693232445093916,12.682005386929985,12.494483345163435,12.871718484986266,12.289559181604973,13.01944708504085
3.8,12.934570747875554,12.939482487993367,12.753092983572788,13.128706250534318,12.573194096732959,13.28927638703366
3.9,13.181490076542925,13.18659156626679,13.011468396323638,13.362116178420122,12.853307261375358,13.517019582887793
4.0,13.42783300833333,13.429000412144088,13.257519717329357,13.608054720315065,13.102693525317886,13.773793636428778
4.04,13.520454896893433,13.52704341039668,13.358718127914281,13.70090348771913,13.202577518496263,13.87098859315675
4.08,13.618275097024398,13.625607889806053,13.462789736717456,13.79246497781136,13.306499630149139,13.965457770167147
4.1,13.66736039617035,13.674934409911959,13.514880432353218,13.842671560074978,13.35524857451575,14.004570036485912
4.12,13.718148692156785,13.724392466005778,13.562852471269181,13.893631387422337,13.40000561920124,14.066858473351349
4.16,13.82176484642767,13.824991338685804,13.662828590135888,13.994966329325345,13.512436694853328,14.142222811868498
4.2,13.930997614457699,13.929711489553505,13.771225036651854,14.09323299028616,13.619129171876741,14.250220284634567
4.24,14.036413174567706,14.039019302924876,13.878326204447424,14.197278648688803,13.737956508757776,14.349476113705219
4.28,14.15315935858741,14.155634759415971,14.006845517437613,14.312955321325232,13.852473508849409,14.44799086473099
4.3,14.216381380848208,14.217489194389964,14.071312367008074,14.370030660487886,13.924709353337422,14.512314785712533
4.32,14.28101871111198,14.281809163962413,14.135228133720547,14.43478959975337,13.984385634534497,14.57590464286028
4.36,14.412014636144452,14.416620005219217,14.26870863478491,14.570333991657579,14.121695310452948,14.715672342351043
4.4,14.55275853644651,14.557672168965142,14.415264295902544,14.708144793651961,14.262995994531536,14.851778291820544
4.44,14.698948853472292,14.703093421726441,14.565349291643493,14.840072449689211,14.419043880981933,14.992286824053785
4.48,14.854026701039519,14.851699476813504,14.725822865180684,14.9805943148541,14.586207372293055,15.127502723097615
4.5,14.924492534238295,14.926921653304719,14.801871910948007,15.051122108772315,14.661744270133395,15.188513331720257
4.52,15.0015256015691,15.001767231719672,14.881458457044024,15.127410347772749,14.744684241448233,15.258910484181634
4.56,15.150943908401363,15.150203146236057,15.035010336671002,15.265162423202813,14.918926063428785,15.394757815143194
4.585,15.239271323785907,15.239870783388454,15.130185633019167,15.350891040963615,15.007631597458108,15.472899996917155
4.595,15.27177791836624,15.274873683297207,15.168016532317127,15.38494742369369,15.03475811632726,15.50326153568349
4.6,15.289375516900009,15.292121212935003,15.18525286801011,15.40224987283872,15.057246223425263,15.523409719519643
4.64,15.424964514082124,15.426365192879123,15.322363995138621,15.539927595592879,15.214981485884012,15.644272519285437
4.68,15.551992501509414,15.553810612835731,15.450982178272204,15.659287467942434,15.342463974308338,15.762021108679889
4.7,15.616667857462438,15.614913164182019,15.51170006894388,15.715902305346553,15.404351218459352,15.821195519647128
4.72,15.675502668781835,15.674328983142274,15.570320067951135,15.77482118732444,15.461172952831841,15.875745401646773
4.76,15.788033177433642,15.788504590359508,15.68979247040945,15.89119149534636,15.587548127610702,15.993313452842624
4.8,15.893810772012749,15.895659005487309,15.794676460936703,15.995386182597805,15.699742432951055,16.098717490183756
4.81,15.921063597885555,15.921347864923172,15.820931217113243,16.021430437444614,15.726898954067545,16.124347837223027
4.84,15.994360513464736,15.99548011471178,15.8967009920682,16.097451452296237,15.79893807986212,16.194629195340617
4.88,16.087695348147054,16.089242192794227,15.986134780835338,16.188759035386735,15.897790627137304,16.290812308008398
4.9,16.134455973170603,16.13427724616123,16.031094984272688,16.23320262578687,15.934720168024604,16.338699809079397
4.92,16.177308267335007,16.178406681400865,16.071648986807826,16.27883265228104,15.977890257871879,16.380757458314378
4.96,16.264398985903792,16.26316687852504,16.155093131493302,16.368206390749307,16.057777261429482,16.464895988503446
5.0,16.34635135066955,16.34312673887933,16.23612917562772,16.450240520255086,16.132726782364795,16.55146920655415
5.04,16.418470602617234,16.41826808419179,16.30290141767395,16.528559021138623,16.19633191047726,16.633957483876063
5.08,16.489018930392845,16.489430009979174,16.370355452697435,16.605893865286117,16.27069874450356,16.711133809695898
5.1,16.52249558368557,16.52373511336188,16.40656362239244,16.640948899893726,16.30481735943438,16.753915129144495
5.12,16.5578740945134,16.557724789301684,16.442020883087572,16.675404372805097,16.341609646305407,16.80037243050318
5.16,16.62516518656095,16.625177477628952,16.50577659150207,16.743249652360163,16.398277208872276,16.870559942295994
