depth,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
0.0,0.31656746038350964,0.3460650748227886,0.12294216566435247,0.5704367931785799,0.022859995694508705,0.815933350737583
0.04,0.41301588242576087,0.4428653333318512,0.2341675171424213,0.6578569023641178,0.14048142369889663,0.8809508633899735
0.2,0.8617245917960734,0.8685547636606005,0.6902526898427234,1.0433167457867798,0.5840685496569541,1.2146365927891065
0.245,1.0010203046045738,1.0028923153189029,0.8258310628170158,1.1688215167589846,0.7112458940368136,1.3407194379880056
0.4,1.5117550520270866,1.5152234473080688,1.3428878753690858,1.6854526573317814,1.1811752442998182,1.849672867011839
0.545,2.033464412113208,2.0384008800602365,1.855818398612741,2.2202285086976357,1.7024942077931589,2.401963050346679
0.6,2.233769627926644,2.2360972032633373,2.0454066101987567,2.430925990280276,1.8686880802934678,2.6186823214794
1.0,3.628597384519236,3.631515561470606,3.4345040257763233,3.8310745430746955,3.2598306053010915,4.005690041886573
1.045,3.7734832401366467,3.7731360514959134,3.5791036449075295,3.966199214638127,3.397027632759974,4.129990654227227
1.2,4.219464679559088,4.215655378300287,4.035644169827073,4.402761273670784,3.8579114109519166,4.583061865108888
1.4,4.751235414080969,4.747293090960942,4.5837363263984585,4.903608334016681,4.419545500006587,5.061417358568188
1.545,5.168952525637648,5.163177523469872,5.007209582216967,5.299291703634091,4.895738036623527,5.454139267817281
1.6,5.341476373203955,5.338514057191985,5.187655877819331,5.479426551716631,5.063496004495153,5.627829345565399
1.8,6.04361725652653,6.042614342682394,5.879906512202513,6.192611532602236,5.741808515103599,6.364606671280985
1.845,6.212787069933339,6.212255371587699,6.047476512901844,6.363288829380624,5.919131622691457,6.539442309553945
2.0,6.815860937674187,6.812831942793304,6.659414877179479,6.964011163834026,6.521275752371023,7.105433982125986
2.045,6.987813415202376,6.987418135521721,6.829770906950304,7.135384437718474,6.689347856589506,7.270236707634745
2.2,7.592414480101867,7.592099486816175,7.433855334453139,7.74378908738197,7.292701963749501,7.892453232956597
2.245,7.769066830184264,7.765358142328603,7.61401884849548,7.915392811121788,7.459974553297212,8.067588291183332
2.4,8.33713290775016,8.343073760595315,8.162631994885425,8.533086890487207,7.978615919957874,8.686158780674829
2.5,8.705934065760735,8.707389335839403,8.50241499937212,8.904254892144953,8.301480906344901,9.118314138235116
2.6,9.07350834897195,9.071741948430338,8.841095731118417,9.27992559166304,8.664554424215103,9.507921466273476
2.8,9.820569415716562,9.812553832154173,9.613052358495958,9.997114182161091,9.405356773743746,10.242896533018376
2.845,10.001536393704644,9.992981760569004,9.796084352797745,10.171448992713009,9.579566994421272,10.41486340920124
3.0,10.650159468159979,10.655681809896837,10.471431698937089,10.853089898333549,10.28740533495249,11.078108482170055
3.045,10.828870865486813,10.838688052465583,10.65531310920602,11.028755654247629,10.442182226340101,11.247229390702037
