depth,age,error,dR,dSTD,cc,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
1.54,12.96,0.11,0.0,0.2,2.0,14.2052321187446,14.205338677691962,13.97868112450646,14.434132230094193,13.783163893160388,14.645059065427903
1.72,13.89,0.13,0.0,0.2,2.0,15.25079492340356,15.239722705610056,15.083041832778758,15.403964205324751,14.898629598059442,15.544776073207618
1.86,13.92,0.11,0.0,0.2,2.0,15.959088068956042,15.956211650826102,15.816874079357566,16.083089795564625,15.69842831553425,16.22396765888655
1.86,14.05,0.12,0.0,0.2,2.0,15.959088068956042,15.956211650826102,15.816874079357566,16.083089795564625,15.69842831553425,16.22396765888655
2.26,15.05,0.14,0.0,0.2,2.0,17.64469244334547,17.64478135464072,17.442931275826158,17.846165519715786,17.28298385248988,18.00149910110921
2.46,16.18,0.12,0.0,0.2,2.0,18.67187551739398,18.67472979492539,18.47414258479841,18.871986525066852,18.297815389092474,19.090124220620734
2.78,17.78,0.14,0.0,0.2,2.0,20.494502718441858,20.492127569530336,20.286453634445632,20.713345755692266,20.060402870123948,20.90913582573974
3.14,19.17,0.15,0.0,0.2,2.0,22.13307524922554,22.124211134621365,21.919660251847752,22.33660006338437,21.695694902563634,22.563466597331065
3.46,21.16,0.19,0.0,0.2,2.0,24.32834457247895,24.329817643159036,24.134025739893012,24.529852590045028,23.94059584076615,24.739089657194786
3.46,21.07,0.18,0.0,0.2,2.0,24.32834457247895,24.329817643159036,24.134025739893012,24.529852590045028,23.94059584076615,24.739089657194786
3.7,22.7,0.22,0.0,0.2,2.0,26.1087709128936,26.114050186447173,25.873027667656554,26.339440902172054,25.67945401772334,26.62301477779325
3.9,24.48,0.22,0.0,0.2,2.0,27.808285272522717,27.819720772490147,27.594742744397532,28.038613994249136,27.396290654732045,28.308845283848925
4.14,26.31,0.2,0.0,0.2,2.0,29.871565344739707,29.86293295205572,29.69049177074932,30.013730393168114,29.50386251358984,30.196029831898894
4.14,26.71,0.2,0.0,0.2,2.0,29.871565344739707,29.86293295205572,29.69049177074932,30.013730393168114,29.50386251358984,30.196029831898894
4.22,27.11,0.31,0.0,0.2,2.0,30.5572454743471,30.55486589677972,30.327778056994514,30.78421903597502,30.077118336659254,30.988705226780603
4.5,29.64,0.36,0.0,0.2,2.0,33.06264390177482,32.985416644754324,32.40965718548773,33.50290120420078,31.856427603153616,33.83245143839013
