depth,d18O,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
0.05,3.11,0.24302625370167022,0.25613464120734436,0.10503294632643131,0.4091818472581505,0.023741391943353292,0.5588906059576109
0.1,3.05,0.34258970460887483,0.3484113268787665,0.20967004392495903,0.4839940191714525,0.1112104408821659,0.6202297631797088
0.15,3.19,0.43403532848671156,0.43756302708173345,0.3069868334820772,0.5635799959592622,0.2027056370273455,0.699279462694184
0.2,3.02,0.5254076262931557,0.5272082728730725,0.40651283763340385,0.6459998194447454,0.2944935755689832,0.773579407626418
0.25,3.14,0.6200271398352193,0.6182343895243675,0.4949639380329112,0.7455985969282821,0.38804719213860683,0.8537488456906952
0.3,3.06,0.711880430366054,0.7107079183197661,0.5847095039666554,0.8356249878718451,0.46718932064514473,0.9563389051705461
0.35,3.17,0.8047043234480231,0.8046447692396104,0.677732340304733,0.9332148102514832,0.553837199895489,1.067220891097655
0.4,3.32,0.8998437555272116,0.9018884394902174,0.7636829881667181,1.0372731789757346,0.6224745915913011,1.166342026789548
0.45,3.53,1.0104927246097404,1.0114787236878622,0.87316910048713,1.1496255176816668,0.7310379833566103,1.2695431064324234
0.49,3.01,1.1134722350427695,1.1148243982509984,0.9766909045720272,1.2533818361842926,0.8378455968662964,1.3877988054838364
0.54,3.14,1.2708693801195527,1.2726328384634402,1.133281294598862,1.4158227848245757,0.9858550141872524,1.5569885943732982
0.59,3.02,1.4701755482036312,1.469591455454252,1.3200597379062515,1.6219622104492084,1.161784084752369,1.7804939268557871
0.64,3.52,1.6967279550293224,1.7014487412341972,1.5361967161475285,1.863799032977332,1.3731714365734697,2.0262568602385387
0.69,3.1,1.96089172085867,1.9658010933527006,1.796537272586816,2.1426956627753526,1.6259610540212432,2.310897681893572
0.74,3.18,2.2569639548451264,2.2755918127123143,2.0916643271572646,2.4836278983980113,1.9107469466273805,2.6377196563205696
0.79,3.13,2.65367608589113,2.661846937497283,2.4634533138615757,2.8768477804312966,2.2673810727228125,3.0526135795087836
